SBACBANK,16.00,Bank,N,1.04,1.08,1.21,13.59,2020
SEAPEARL,44.60,Travel & Leisure,B,0.1,-,0.61,10.63,2021
SEBL1STMF,-,Mutual Funds,A,0.3,3.81, n/a ,10.5,2020
SEMLFBSLGF,8.50,Mutual Funds,A,1.5,1.32,1.87,12.4,2021
SEMLIBBLSF,9.30,Mutual Funds,A,1.0,2.61,2.33,11.31,2021
SEMLLECMF,9.50,Mutual Funds,A,1.5,3.85,2.84,11.84,2021
SHAHJABANK,22.30,Bank,A,1.81,3.27,1.95,18.33,2020
SHASHADNIM,27.80,Textile,A,1.0,1.72,1.02,41.97,2021
SHEPHERD,30.70,Textile,B,1.02,1.2, n/a ,14.67,2021
SHURWID,20.50,Engineering,A,1.0,2.52,1.38,12.21,2019
SHYAMPSUG,82.00,Food & Allied,Z,-,-, n/a ,-1114.52,2021
SIBL,17.50,Bank,A,1.38,1.08,1.67,19.29,2020
SILCOPHL,25.80,Pharmaceuticals & Chemicals,A,1.0,1.36,0.8,21.64,2020
SILVAPHL,19.90,Pharmaceuticals & Chemicals,B,0.5,1.16,0.88,16.63,2021
SIMTEX,18.80,Textile,B,0.4,0.64,0.92,21.82,2021
SINGERBD,176.50,Engineering,A,3.0,7.96,7.85,32.19,2020
SINOBANGLA,55.00,Miscellaneous,A,0.5,1.16,1.31,25.69,2020
SKICL,74.50,Insurance,N,-,4.6,2.36,21.09,2020
SKTRIMS,30.60,Miscellaneous,B,0.5,0.96,1.14,14.1,2021
SONALIANSH,461.50,Jute,A,1.0,1.13,1.13,225.65,2021
SONALILIFE,70.00,Insurance,A,1.0,-,-,-,2020
SONALIPAPR,727.90,Paper & Printing,A,147.58,26.64,4.89,284.33,2021
SONARBAINS,70.40,Insurance,A,1.5,2.63,2.09,19.62,2020
SONARGAON,19.30,Textile,B,-,-, n/a ,11.08,2021
SOUTHEASTB,15.60,Bank,A,1.0,4.17,1.81,24.98,2020
SPCERAMICS,31.20,Ceramics Sector,B,0.25,0.08,0.32,30.63,2021
SPCL,90.20,Fuel & Power,A,4.6,8.52,4.47,34.94,2020
SQUARETEXT,63.00,Textile,A,2.0,9.2,3.41,38.69,2021
SQURPHARMA,222.50,Pharmaceuticals & Chemicals,A,6.0,22.57,17.99,102.54,2021
SSSTEEL,20.10,Engineering,A,1.81,2.92,1.55,17.48,2020
STANCERAM,163.60,Ceramics Sector,B,0.1,-,0.24,9.72,2021
STANDARINS,72.60,Insurance,A,1.25,2.96,2.07,19.09,2020
STANDBANKL,10.50,Bank,A,0.51,0.37,1.08,16.67,2020
STYLECRAFT,117.50,Textile,A,-,-, n/a ,22.18,2021
SUMITPOWER,39.20,Fuel & Power,A,3.5,4.08,5.25,34.45,2021
SUNLIFEINS,39.10,Insurance,Z,0.1,-,-,-,2020
TAKAFULINS,56.80,Insurance,A,1.0,2.29,1.65,17.97,2020
TALLUSPIN,10.70,Textile,Z,-,-, n/a ,11.97,2019
TAMIJTEX,187.90,Textile,Z,2.0,3.0,2.05,82.3,2021
TITASGAS,44.40,Fuel & Power,A,2.2,2.6,3.5,72.57,2021
